VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
7tHFCjS6byM,639058,18929,1517,400,3,1
SXrOuIhoslA,505858,28603,3442,524,1,1
GYYD26LszFc,754,6,2,1,2,0
fVg9kaQ2DKc,66661,1376,95,95,9,0
4oseK1D6ru0,1297936,60268,5296,733,4,1
O0rEsN4tn1Q,1109452,16306,1200,497,1,1
jFdy81gis-U,198258,488,0,170,587,0
8JX3jUCtUfE,1693300,4292,236,414,638,0
9Q_wLdB0EpM,1241583,8255,827,871,190,0
YsUB1yZvVR4,4203188,262755,16645,3781,1,1
yDBeQXnR9NY,1094599,1944,119,172,445,0
OZbCRN3C_Hs,713831,18060,3370,1217,0,1
5qf_Feq56Jo,637225,12451,1558,336,4,1
XH6UXxmVlqo,351047,2989,0,164,91,0
iw3se_00B_8,269,3,1,0,2,0
JIcN_729BgU,3894195,7832,2223,503,1024,0
rVr0uQYGzsE,8151,61,2,0,455,0
KAushZU1xqg,3724836,115110,16355,3238,3,1
kS3UHcnmJec,828667,55118,8489,2267,6,1
bUAxPG3GYi8,1336877,112154,7431,1913,3,1
h_kJIg9-PTE,31074,410,0,12,1,0
7Sl-HtRXLJA,24010,333,0,15,1,0
u7JnoRy2vng,1305897,88310,7307,1320,1,1
x17b5A1lA-E,137720,4509,374,37,9,0
hS2x1zl4rn0,19263222,1430026,66322,13450,3,1
YsaXShqhotI,355988,20966,4686,1436,2,1
cVt7Qz66b5A,274304,18034,2434,58,0,1
AolRP8bq7YQ,278135,6459,6923,411,0,1
pFB-Z6mNKvM,4011938,146236,23523,4623,5,1
QjB9Hk0f5-c,1514987,42664,3393,1370,6,1
qy4jDrndgbY,2299,1927,0,4,0,0
wTowEKjDGkU,21229531,2026367,155500,74611,2,1
uNT_AxXrUGs,1518337,48317,2803,662,6,1
JJiRcbiIU9U,530280,28366,1674,337,1,1
5JvC6M2wXFU,5341324,494309,31466,8233,5,1
vezfa_V3N2Y,7347341,7368,824,1011,1018,0
_HmLuJJN9jQ,6813791,432319,14582,4985,4,1
_YIMUsaMTM0,2053,7,0,0,2,0
evdvEf_4RLw,7934,704,50,14,31,0
RcxE-6Aoa_o,2554,70,37,0,3,0
3MiOSuhyJl0,281,9,3,2,3,0
yXMXny2tP8A,370936,2977,595,205,503,0
4hu5iCqQVcM,1974459,32074,1513,1004,9,0
x4gJt5ASHRo,2862651,9478,677,232,4111,0
2p1IyZZz3_w,7339673,25088,2953,1114,3452,0
uCkt0up9Slc,16691,76,0,18,125,0
ht0DfjlZP80,7804641,566243,26047,6014,4,1
Dv4XErqWLHM,99905,1471,41,52,9,0
5hO49HF9f9A,1534264,1412,516,136,0,1
EB6YNl71GaQ,243167,38210,2349,101,0,1
WOgpt2OXFVY,539045,4381,1307,318,4,1
qlRMqbQpHFA,794134,47163,13714,1208,3,1
QWE-IkBAL7Q,40655,4207,351,163,0,0
sKsqgkkboEY,580557,8443,3926,477,0,1
TMXYPMxCfFw,1963,63,3,6,2,0
CVRgJb8ob0c,238142,3316,1534,703,1,1
XfHKVStPUlM,24960,2605,976,25,0,0
uMu2qv-uNWw,4272229,336016,21500,6245,2,1
pPwqUyW3UMU,938189,38784,1401,196,9,0
UEAS1zYvxIk,1235836,82910,3117,473,0,1
DSIDOgR5O5g,2901630,34197,8373,1399,2,1
T3h6kFjG9RQ,494356,1336,66,145,559,0
cFMkZ1nHcWo,1896709,212505,13715,994,2,1
Daz6ax-h2us,349350,4042,1925,7586,1,1
Mzk8XTZCn9k,10960,24,2,1,52,0
i9AWA2Q-BA4,1489194,98054,4120,1059,6,1
l46E7Q3UKqI,4410948,114524,15613,8210,4,1
ErzqKnB6opA,1344357,17600,1231,439,0,1
mAFv55o47ok,3219500,72256,20721,8600,1,1
UkfQdP-oww0,972109,8935,1779,1028,57,0
l5LYdmNURYc,831,78,4,0,2,0
HiITxbXAzCg,908149,102734,2379,487,1,1
OYJ8nInmC7s,69829,1997,66,41,349,0
tcYodQoapMg,35922432,2824399,217088,47206,2,1
5dtDBTlPR4o,1533092,18344,3920,643,3,1
oD155zWANQg,19422743,1190988,118285,15676,8,1
iiKJbN_kkmI,2071565,2028,42,734,9,0
bSDKdjLlFxE,1279239,59331,1936,771,1,0
VZzZKuQUguk,3924351,530247,31420,5489,5,1
oNCkWW6i3Ww,1943583,26400,7014,734,0,1
sGz5FZsitXk,1661652,53353,6771,2044,6,1
A3CVHvCqouE,3687951,198330,7788,1422,2,1
UoI9riNffEU,15364153,1374246,116789,18452,3,1
9o2msViv5rw,25572,260,9,22,217,0
rVWhHZj1xk4,920928,18643,854,267,3,1
EJAsuu0bkRg,2594125,136261,6697,2021,0,1
uoUyu2w7YCg,2564468,26836,481,539,8,0
3F0eyrZhuHs,1874248,19046,33136,9727,5,1
2tdjeCKdIv4,427712,25336,1413,611,2,1
2exsQ-1Cuh0,439431,2208,649,344,0,1
dmE8MC4a8mQ,509402,84169,5730,331,3,1
RS7O1Rar1E8,457201,17937,1041,340,2,1
6i1o68nZMlc,1347504,12522,4639,780,4,1
w2Nr2dM6wgE,11281,0,20,0,3,0
jIcW84_eUU0,4730,234,0,9,122,0
CsVGqjxtdyA,435355,23455,1676,531,6,1
v95Wvjfj3Pc,4247745,42144,1043,3510,8,0
fZexjyhosSg,422806,28469,2144,225,1,1
zfU-rUTp9gg,1130637,94813,5253,702,4,1
9J0KinaymQ0,1728959,15886,627,258,198,0
j-8HQHxxbVk,566582,1959,198,146,518,0
ClEHz1aVFrE,2705440,317840,10779,1132,3,1
oRM4IaWWktY,1162696,45475,2288,964,5,1
IFXm5E27dlM,1520518,92617,4883,1328,4,1
kr0KFUaUvRY,475493,9114,1366,399,0,1
ABupGM9zZTE,3488941,6096,345,251,1075,0
7NeCUpCtkl8,6280015,11179,673,1361,329,0
sY8gUtyeAKE,11436654,98054,9930,3425,6,1
F8VLTFOyOEk,3572,195,19,2,2,0
nedusgCUZC4,2897660,163955,6886,1383,2,1
YfqiFxCiwpU,268496,8541,475,81,1,0
C6AACII-1gE,849147,196075,4817,227,4,1
9-65R77IfyM,3867349,103593,7118,3604,5,1
iht8e_HtLso,1893643,111269,11396,1202,0,1
nk44yPCN3gM,1354257,62586,3888,560,2,1
j_rXSJm-7zg,452620,36553,1462,542,2,1
GVpEfA1-p9s,240771,5761,584,152,1,1
rvG6V_BXsTE,454037,44518,2655,281,2,1
3eizfybgo9U,2749561,4220,358,307,1295,0
DckYj3_Mjrw,101165,1012,243,27,79,0
FVxKAJqdYho,1992014,7239,146,140,1370,0
wGzHmklzlJ8,10737524,329105,25589,10012,8,0
j6K-tfWOaLo,878510,11207,1175,745,5,1
0SYKA00eFWY,1092241,36755,2841,752,3,1
gDOmzKGUEf8,963796,60048,6280,807,5,1
fLPSmYjH27s,298744,18000,1241,472,1,1
MqePxS6iyvA,6504558,430674,20009,4966,0,1
lFt6VscNBRw,835500,6077,550,627,437,0
OYxq9wLOvPI,1514775,13711,3912,1636,217,0
neNgo7RDcZo,2068939,2199,72,377,270,0
OrMit-U7cxA,237512,3193,3037,129,5,1
JdOtZXDQSFU,219721,1439,48,405,265,0
Am9VrRZuo04,1225040,20294,1071,494,0,1
FbM1yi4mMMc,29857756,1791136,120900,23433,5,1
vw2FOYjCz38,2821584,59654,5240,1433,0,1
Qcm-VwTlzxs,2725458,5825,81,338,353,0
aeODxX4Ip7s,1679023,13778,0,6850,8,0
AQyLEz0qy-g,1391859,31902,2491,539,4,1
rUrp9gd0FEY,249573,11792,805,55,9,0
