VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
LsgqEH7XBuU,78121,267,6,182,639,0
VEX5UlT0SLc,1787,35,2,6,0,0
ny4JRmPHbzI,3246,43,7,7,0,0
LeYui6b8ldE,1219,0,0,0,0,0
5unZmaq9UZQ,697,8,4,0,0,0
Pc6syv6ehdQ,96381,685,0,829,861,0
ml7pxeJf_io,61557,7,0,0,360,0
CYN1Hi-1fPc,618,0,5,0,0,0
Oqcf7EE6H7Y,961,14,0,1,0,0
KG67mdCnkOw,937,6,2,0,0,0
qg2fNigTlNQ,690,37,1,0,0,0
IaVoFLBGCa8,743,47,5,4,0,0
t4X_KY3UvjA,1747,38,0,6,0,0
mMCmtSNg6Rw,1709,0,1,0,0,0
HdfP4-3lE_U,2154,54,2,10,0,0
in_pZUS2CAM,2663,0,5,0,0,0
HLQKSilk8FM,46994,1,0,0,635,0
MYXtqJcaN9U,466237,0,0,0,341,0
Lmhdop_J79E,694,12,0,1,0,0
-M0md1IK_cU,1216,37,5,0,0,0
VWsVJW3vI2o,1924,25,0,3,1,0
oSZgl9ov0ag,2543,32,16,5,0,0
HVDttbD5gpI,789,0,0,0,0,0
eYL6WdW-Ri8,3734,7,0,4,2021,0
v7auPLt0HYY,530,0,0,0,0,0
WtHNqDKhy_M,1061,17,1,2,0,0
QlVHtqp-sKM,1349,11,0,1,0,0
E1JWxCYwT50,728,8,0,3,0,0
Ppr9VTdzGeI,161961,188,15,60,1108,0
BPpAAemnecw,163535,809,1,100,286,0
WUM0kMRsEZE,1095,1,0,1,1765,0
9om1Fysy8HY,115860,7,0,1,141,0
o6oOXwjMF2Q,1098,5,0,1,894,0
K4Vi4ee1GTU,157,0,1,0,1886,0
cJboJmpWKp0,158518,1067,0,1100,757,0
ufiM516DfmI,177055,1214,0,283,428,0
57RQRAxP3Pc,223165,0,0,0,259,0
9YRIEWMGxrE,348,0,0,0,1830,0
vSjoiXTgDeg,193927,1387,0,337,444,0
2lyM8m0h1jQ,2704,4,3,4,4349,0
c7J4XgmylIY,74221,629,0,140,597,0
OOEaNJsR8tw,88850,414,0,125,992,0
